target,beta,method_key,step,sample_idx,seq_len_full,seq_len_semantic,tokens_full_json,tokens_semantic_json
In-Distribution,10,exact_guidance_u,18,0,8,7,"[129, 51, 101, 80, 63, 5, 89, 37]","[51, 101, 80, 63, 5, 89, 37]"
In-Distribution,10,exact_guidance_u,19,0,8,7,"[129, 51, 101, 80, 63, 5, 89, 37]","[51, 101, 80, 63, 5, 89, 37]"
In-Distribution,10,exact_guidance_u,20,0,10,9,"[129, 51, 101, 80, 63, 127, 5, 39, 89, 37]","[51, 101, 80, 63, 127, 5, 39, 89, 37]"
In-Distribution,10,exact_guidance_u,21,0,13,12,"[129, 51, 101, 127, 80, 29, 63, 127, 127, 5, 39, 89, 37]","[51, 101, 127, 80, 29, 63, 127, 127, 5, 39, 89, 37]"
In-Distribution,10,exact_guidance_u,22,0,19,18,"[129, 51, 101, 127, 80, 29, 49, 63, 127, 127, 0, 5, 2, 39, 88, 89, 98, 37, 19]","[51, 101, 127, 80, 29, 49, 63, 127, 127, 0, 5, 2, 39, 88, 89, 98, 37, 19]"
In-Distribution,10,exact_guidance_u,23,0,23,22,"[129, 51, 101, 127, 127, 80, 6, 29, 49, 63, 127, 127, 121, 0, 5, 2, 39, 88, 89, 98, 37, 19, 8]","[51, 101, 127, 127, 80, 6, 29, 49, 63, 127, 127, 121, 0, 5, 2, 39, 88, 89, 98, 37, 19, 8]"
In-Distribution,10,exact_guidance_u,24,0,27,26,"[129, 51, 101, 117, 127, 127, 107, 80, 6, 29, 49, 63, 109, 127, 127, 121, 83, 0, 5, 2, 39, 88, 89, 98, 37, 19, 8]","[51, 101, 117, 127, 127, 107, 80, 6, 29, 49, 63, 109, 127, 127, 121, 83, 0, 5, 2, 39, 88, 89, 98, 37, 19, 8]"
In-Distribution,10,exact_guidance_u,25,0,33,32,"[129, 51, 101, 117, 127, 127, 107, 80, 0, 6, 29, 49, 63, 109, 127, 127, 121, 109, 83, 4, 0, 5, 2, 33, 39, 88, 89, 107, 98, 37, 19, 4, 8]","[51, 101, 117, 127, 127, 107, 80, 0, 6, 29, 49, 63, 109, 127, 127, 121, 109, 83, 4, 0, 5, 2, 33, 39, 88, 89, 107, 98, 37, 19, 4, 8]"
In-Distribution,10,exact_guidance_u,26,0,38,37,"[129, 51, 101, 117, 127, 127, 107, 80, 69, 0, 6, 29, 49, 63, 109, 127, 127, 121, 109, 83, 4, 0, 5, 2, 33, 39, 76, 88, 89, 127, 107, 98, 65, 37, 19, 4, 0, 8]","[51, 101, 117, 127, 127, 107, 80, 69, 0, 6, 29, 49, 63, 109, 127, 127, 121, 109, 83, 4, 0, 5, 2, 33, 39, 76, 88, 89, 127, 107, 98, 65, 37, 19, 4, 0, 8]"
In-Distribution,10,exact_guidance_u,27,0,43,42,"[129, 51, 101, 117, 127, 127, 107, 80, 69, 0, 6, 29, 49, 63, 89, 109, 127, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 127, 107, 98, 65, 37, 37, 19, 4, 0, 8]","[51, 101, 117, 127, 127, 107, 80, 69, 0, 6, 29, 49, 63, 89, 109, 127, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 127, 107, 98, 65, 37, 37, 19, 4, 0, 8]"
In-Distribution,10,exact_guidance_u,28,0,45,44,"[129, 51, 59, 101, 117, 127, 127, 107, 80, 69, 67, 0, 6, 29, 49, 63, 89, 109, 127, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 127, 107, 98, 65, 37, 37, 19, 4, 0, 8]","[51, 59, 101, 117, 127, 127, 107, 80, 69, 67, 0, 6, 29, 49, 63, 89, 109, 127, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 127, 107, 98, 65, 37, 37, 19, 4, 0, 8]"
In-Distribution,10,exact_guidance_u,29,0,49,48,"[129, 51, 59, 101, 117, 127, 127, 107, 102, 80, 69, 67, 28, 0, 6, 29, 49, 63, 89, 109, 127, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 125, 127, 107, 98, 88, 65, 37, 37, 19, 4, 0, 8]","[51, 59, 101, 117, 127, 127, 107, 102, 80, 69, 67, 28, 0, 6, 29, 49, 63, 89, 109, 127, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 125, 127, 107, 98, 88, 65, 37, 37, 19, 4, 0, 8]"
In-Distribution,10,exact_guidance_u,30,0,52,51,"[129, 51, 59, 101, 117, 127, 127, 107, 102, 80, 69, 67, 28, 23, 0, 6, 29, 49, 63, 89, 109, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 127, 125, 127, 107, 98, 88, 65, 37, 37, 19, 4, 0, 8]","[51, 59, 101, 117, 127, 127, 107, 102, 80, 69, 67, 28, 23, 0, 6, 29, 49, 63, 89, 109, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 33, 39, 76, 88, 89, 127, 125, 127, 107, 98, 88, 65, 37, 37, 19, 4, 0, 8]"
In-Distribution,10,exact_guidance_u,31,0,61,60,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 76, 88, 89, 127, 125, 127, 107, 98, 88, 65, 61, 37, 37, 19, 4, 0, 8, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 76, 88, 89, 127, 125, 127, 107, 98, 88, 65, 61, 37, 37, 19, 4, 0, 8, 13]"
In-Distribution,10,exact_guidance_u,32,0,62,61,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 127, 107, 98, 88, 65, 61, 37, 37, 19, 4, 0, 8, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 127, 107, 98, 88, 65, 61, 37, 37, 19, 4, 0, 8, 13]"
In-Distribution,10,exact_guidance_u,33,0,64,63,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 4, 0, 8, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 4, 0, 8, 13]"
In-Distribution,10,exact_guidance_u,34,0,65,64,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 4, 0, 8, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 31, 4, 0, 5, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 4, 0, 8, 13]"
In-Distribution,10,exact_guidance_u,35,0,70,69,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 63, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 122, 127, 121, 109, 103, 83, 63, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 13]"
In-Distribution,10,exact_guidance_u,36,0,72,71,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 29, 49, 63, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 13]"
In-Distribution,10,exact_guidance_u,37,0,76,75,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 127, 125, 117, 127, 107, 98, 88, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,38,0,80,79,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 28, 23, 0, 2, 0, 0, 6, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,39,0,83,82,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 28, 23, 26, 0, 2, 0, 0, 6, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 119, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 28, 23, 26, 0, 2, 0, 0, 6, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 119, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,40,0,86,85,"[129, 51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,41,0,89,88,"[129, 51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,42,0,89,88,"[129, 51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,43,0,90,89,"[129, 51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,44,0,90,89,"[129, 51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,45,0,90,89,"[129, 51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]","[51, 59, 96, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 9, 13]"
In-Distribution,10,exact_guidance_u,46,0,93,92,"[129, 51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 103, 83, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,47,0,94,93,"[129, 51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,48,0,95,94,"[129, 51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,49,0,95,94,"[129, 51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
In-Distribution,10,exact_guidance_u,50,0,98,97,"[129, 51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]","[51, 59, 89, 96, 106, 101, 110, 117, 127, 127, 127, 127, 124, 107, 102, 80, 69, 67, 44, 42, 28, 23, 26, 0, 2, 0, 0, 0, 6, 11, 14, 29, 41, 49, 63, 68, 89, 109, 127, 127, 127, 127, 122, 127, 123, 121, 109, 110, 103, 83, 95, 63, 42, 31, 4, 1, 0, 5, 9, 2, 2, 17, 23, 33, 39, 47, 76, 88, 89, 102, 103, 119, 127, 127, 125, 117, 127, 116, 107, 98, 88, 73, 65, 61, 37, 37, 19, 6, 0, 4, 0, 0, 8, 0, 11, 9, 13]"
